user_id,quiz_score,quiz_time_sec,num_attempts,label
user_001,87,140,1,pass
user_002,45,210,2,fail
user_003,73,170,1,pass
user_004,34,260,3,fail
user_005,60,150,1,pass
user_006,55,200,2,fail
user_007,90,120,1,pass
user_008,38,280,3,fail
user_009,76,135,1,pass
user_010,42,270,2,fail
user_011,81,110,1,pass
user_012,46,240,3,fail
user_013,70,160,1,pass
user_014,33,300,3,fail
user_015,68,145,1,pass
user_016,52,230,2,fail
user_017,85,130,1,pass
user_018,40,250,3,fail
user_019,77,155,1,pass
user_020,36,270,2,fail
user_021,89,115,1,pass
user_022,48,220,2,fail
user_023,74,175,1,pass
user_024,35,295,3,fail
user_025,63,150,1,pass
user_026,50,240,2,fail
user_027,92,105,1,pass
user_028,41,265,3,fail
user_029,78,140,1,pass
user_030,39,280,2,fail
user_031,84,125,1,pass
user_032,47,230,3,fail
user_033,72,160,1,pass
user_034,37,270,2,fail
user_035,69,150,1,pass
user_036,53,250,3,fail
user_037,88,120,1,pass
user_038,44,260,2,fail
user_039,75,145,1,pass
user_040,32,300,3,fail
user_041,86,110,1,pass
user_042,49,220,2,fail
user_043,71,175,1,pass
user_044,36,280,3,fail
user_045,66,135,1,pass
user_046,51,245,2,fail
user_047,91,100,1,pass
user_048,43,270,3,fail
user_049,79,150,1,pass
user_050,31,290,2,fail
user_051,82,125,1,pass
user_052,46,235,3,fail
user_053,67,165,1,pass
user_054,38,275,2,fail
user_055,73,140,1,pass
user_056,54,255,3,fail
user_057,87,115,1,pass
user_058,40,265,2,fail
user_059,76,155,1,pass
user_060,34,290,3,fail
user_061,83,130,1,pass
user_062,47,225,2,fail
user_063,68,160,1,pass
user_064,36,275,3,fail
user_065,65,145,1,pass
user_066,52,245,2,fail
user_067,90,105,1,pass
user_068,42,270,3,fail
user_069,77,135,1,pass
user_070,33,285,2,fail
user_071,85,120,1,pass
user_072,45,230,3,fail
user_073,70,150,1,pass
user_074,39,260,2,fail
user_075,62,140,1,pass
user_076,50,250,3,fail
user_077,88,110,1,pass
user_078,41,275,2,fail
user_079,74,160,1,pass
user_080,35,290,3,fail
user_081,80,125,1,pass
user_082,48,235,2,fail
user_083,69,155,1,pass
user_084,37,270,3,fail
user_085,66,145,1,pass
user_086,51,240,2,fail
user_087,93,100,1,pass
user_088,44,265,3,fail
user_089,78,135,1,pass
user_090,30,295,2,fail
user_091,84,115,1,pass
